Trait Number,Human Readable Name,Example Panda,Example Panda,Example Panda
2,Military Jumpsuit ,https://pandapandas.s3.us-west-2.amazonaws.com/images/51.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/119.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/407.png
3,Yellow Fleece Sweater,https://pandapandas.s3.us-west-2.amazonaws.com/images/52.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/87.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/124.png
4,Blue Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/53.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/243.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/349.png
5,Aqua T-shirt,https://pandapandas.s3.us-west-2.amazonaws.com/images/54.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/168.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/186.png
6,Emerald Armor ,https://pandapandas.s3.us-west-2.amazonaws.com/images/55.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/171.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/500.png
7,Denim Overall,https://pandapandas.s3.us-west-2.amazonaws.com/images/56.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/140.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/196.png
8,Pink Han Outfit,https://pandapandas.s3.us-west-2.amazonaws.com/images/57.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/302.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/338.png
9,Navy Sailor Outfit ,https://pandapandas.s3.us-west-2.amazonaws.com/images/58.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/96.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/515.png
10,Lavender T-shirt ,https://pandapandas.s3.us-west-2.amazonaws.com/images/59.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/214.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/285.png
11,Blue Shift Dress,https://pandapandas.s3.us-west-2.amazonaws.com/images/60.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/244.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/268.png
