Trait Number,Human Readable Name,Example Panda,Example Panda,Example Panda
0,Nothing,https://pandapandas.s3.us-west-2.amazonaws.com/images/51.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/52.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/55.png
2,Soda Pop,https://pandapandas.s3.us-west-2.amazonaws.com/images/53.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/150.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/217.png
3,Teddy Bear,https://pandapandas.s3.us-west-2.amazonaws.com/images/54.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/71.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/96.png
4,Ribbon,https://pandapandas.s3.us-west-2.amazonaws.com/images/57.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/70.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/78.png
5,Tanghulu Fruit,https://pandapandas.s3.us-west-2.amazonaws.com/images/58.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/65.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/69.png
6,Karaoke Mic,https://pandapandas.s3.us-west-2.amazonaws.com/images/60.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/85.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/145.png
7,Lollipop,https://pandapandas.s3.us-west-2.amazonaws.com/images/61.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/94.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/98.png
8,Lifebuoy,https://pandapandas.s3.us-west-2.amazonaws.com/images/64.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/137.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/167.png
9,Bouquet,https://pandapandas.s3.us-west-2.amazonaws.com/images/67.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/107.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/173.png
10,Pinwheel,https://pandapandas.s3.us-west-2.amazonaws.com/images/68.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/130.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/143.png
11,Orange Juice,https://pandapandas.s3.us-west-2.amazonaws.com/images/73.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/93.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/101.png
12,Magical Staff,https://pandapandas.s3.us-west-2.amazonaws.com/images/79.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/89.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/103.png
13,Milkshake ,https://pandapandas.s3.us-west-2.amazonaws.com/images/87.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/111.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/140.png
14,Shan Fan,https://pandapandas.s3.us-west-2.amazonaws.com/images/90.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/113.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/131.png
15,Rice Bag,https://pandapandas.s3.us-west-2.amazonaws.com/images/109.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/161.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/169.png
16,Camera,https://pandapandas.s3.us-west-2.amazonaws.com/images/124.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/147.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/178.png
17,Fire ball - Skeleton,,,
