Trait Number,Human Readable Name,Example Panda,Example Panda,Example Panda
0,Nothing,https://pandapandas.s3.us-west-2.amazonaws.com/images/51.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/53.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/60.png
2,Headband,https://pandapandas.s3.us-west-2.amazonaws.com/images/52.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/82.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/87.png
3,Beanie ,https://pandapandas.s3.us-west-2.amazonaws.com/images/54.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/111.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/161.png
4,Top Hat,https://pandapandas.s3.us-west-2.amazonaws.com/images/55.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/59.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/63.png
5,Scarf,https://pandapandas.s3.us-west-2.amazonaws.com/images/56.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/90.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/95.png
6,Baseball Cap,https://pandapandas.s3.us-west-2.amazonaws.com/images/57.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/68.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/70.png
7,Sailor Hat,https://pandapandas.s3.us-west-2.amazonaws.com/images/58.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/64.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/65.png
8,Tiara,https://pandapandas.s3.us-west-2.amazonaws.com/images/75.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/84.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/88.png
9,Sun Hat,https://pandapandas.s3.us-west-2.amazonaws.com/images/77.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/81.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/86.png
10,Halo,https://pandapandas.s3.us-west-2.amazonaws.com/images/114.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/152.png,https://pandapandas.s3.us-west-2.amazonaws.com/images/231.png
11,Bridal Hat - Brides,,,
12,Robot Helmet - Robots,,,
